Pos,Team,Matches,Points,Rating
1,India,71,18867,266
2,England,48,12305,256
3,Australia,45,11460,255
4,New Zealand,63,15994,254
5,Pakistan,58,14454,249
6,South Africa,37,9210,249
7,West Indies,47,11503,245
8,Sri Lanka,47,11006,234
9,Bangladesh,49,11103,227
10,Afghanistan,43,9357,218
11,Ireland,50,9718,194
12,Namibia,31,6026,194
13,Zimbabwe,53,10222,193
14,Scotland,21,3987,190
15,Netherlands,23,4277,186
16,Nepal,34,5974,176
17,UAE,41,7137,174
18,Oman,27,4159,154
19,PNG,29,4142,143
20,Canada,18,2528,140
