,ground,bowl_kind,matches,average,strike rate,ground_index
0,"Brian Lara Stadium, Tarouba, Trinidad",pace bowler,43,20.98,128.26,G1
1,"Brian Lara Stadium, Tarouba, Trinidad",spin bowler,43,20.71,106.38,G1
2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",pace bowler,21,25.0,138.15,G2
3,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",spin bowler,21,23.08,113.52,G2
4,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",pace bowler,15,20.67,131.66,G3
5,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",spin bowler,15,22.58,119.66,G3
6,"Kensington Oval, Bridgetown, Barbados",pace bowler,36,21.67,126.84,G4
7,"Kensington Oval, Bridgetown, Barbados",spin bowler,36,19.26,116.13,G4
8,"Providence Stadium, Guyana",pace bowler,49,23.31,135.4,G5
9,"Providence Stadium, Guyana",spin bowler,49,21.82,107.77,G5
10,"Sir Vivian Richards Stadium, North Sound, Antigua",pace bowler,4,14.24,109.84,G6
11,"Sir Vivian Richards Stadium, North Sound, Antigua",spin bowler,4,20.26,112.02,G6
