,Country,Metric,Value
0,South Africa,overall,0.21
1,Pakistan,overall,0.22
2,England,overall,0.02
3,India,overall,0.09
4,New Zealand,overall,-0.06
5,Australia,overall,0.05
6,West Indies,overall,-0.25
7,Afghanistan,overall,0.04
8,Bangladesh,overall,-0.22
9,Sri Lanka,overall,-0.11
10,South Africa,batting_pp,-0.2
11,Pakistan,batting_pp,0.42
12,England,batting_pp,0.62
13,India,batting_pp,0.33
14,New Zealand,batting_pp,-0.03
15,Australia,batting_pp,0.6
16,West Indies,batting_pp,-0.53
17,Afghanistan,batting_pp,-0.14
18,Bangladesh,batting_pp,-1.0
19,Sri Lanka,batting_pp,-0.31
20,South Africa,batting_mid,0.22
21,Pakistan,batting_mid,0.21
22,England,batting_mid,0.23
23,India,batting_mid,0.44
24,New Zealand,batting_mid,0.37
25,Australia,batting_mid,0.25
26,West Indies,batting_mid,-0.3
27,Afghanistan,batting_mid,-0.77
28,Bangladesh,batting_mid,-0.72
29,Sri Lanka,batting_mid,-0.28
30,South Africa,batting_death,0.34
31,Pakistan,batting_death,-0.12
32,England,batting_death,0.11
33,India,batting_death,0.59
34,New Zealand,batting_death,0.04
35,Australia,batting_death,0.41
36,West Indies,batting_death,0.65
37,Afghanistan,batting_death,-0.31
38,Bangladesh,batting_death,-0.83
39,Sri Lanka,batting_death,-0.31
40,South Africa,bowling_pp,0.22
41,Pakistan,bowling_pp,0.4
42,England,bowling_pp,-0.54
43,India,bowling_pp,-0.57
44,New Zealand,bowling_pp,-0.32
45,Australia,bowling_pp,-0.43
46,West Indies,bowling_pp,-0.43
47,Afghanistan,bowling_pp,0.19
48,Bangladesh,bowling_pp,0.65
49,Sri Lanka,bowling_pp,0.45
50,South Africa,bowling_mid,0.53
51,Pakistan,bowling_mid,0.2
52,England,bowling_mid,-0.21
53,India,bowling_mid,-0.25
54,New Zealand,bowling_mid,-0.07
55,Australia,bowling_mid,-0.32
56,West Indies,bowling_mid,-0.47
57,Afghanistan,bowling_mid,0.66
58,Bangladesh,bowling_mid,0.4
59,Sri Lanka,bowling_mid,-0.16
60,South Africa,bowling_death,0.16
61,Pakistan,bowling_death,0.24
62,England,bowling_death,-0.07
63,India,bowling_death,-0.0
64,New Zealand,bowling_death,-0.38
65,Australia,bowling_death,-0.23
66,West Indies,bowling_death,-0.39
67,Afghanistan,bowling_death,0.6
68,Bangladesh,bowling_death,0.17
69,Sri Lanka,bowling_death,-0.03
