,Country,batting_pp,bowling_pp,batting_mid,bowling_mid,batting_death,bowling_death
0,Afghanistan,-0.22,0.15,-0.61,-0.27,-0.08,-0.23
1,Australia,0.97,0.7,0.57,0.6,0.67,0.51
2,Bangladesh,-0.71,-0.26,-0.42,-0.04,-0.6,0.15
3,England,0.96,0.79,0.56,0.5,0.34,0.37
4,India,0.68,0.83,0.8,0.54,0.85,0.31
5,Ireland,-0.09,-0.11,-0.23,0.63,-0.48,0.06
6,New Zealand,0.31,0.6,0.71,0.37,0.28,0.64
7,South Africa,0.12,0.12,0.57,-0.15,0.59,0.16
8,Sri Lanka,0.03,-0.09,0.03,0.46,-0.08,0.33
9,West Indies,-0.23,0.7,0.01,0.74,0.91,0.65
